market_sku,sku_name,market_spu,spu_name,subcategory,category,collection,color_tone,material_helper
US-54000067-NG4001,"Dawson King Size Bed, Beach Linen",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,beige_tone,Fabric|Wood
US-54000147-NG4001,"Dawson King Size Bed, Beach Linen",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,beige_tone,Fabric|Wood
US-40550215,Seb Chair,US-T40550196,Seb Chair,Dining Chairs,Chairs & Benches,Seb,brown_tone,Wood
US-40550230,Seb 6-Drawer Dresser,US-T40550205,Seb 6-Drawer Dresser,Dressers,Storage,Seb,multi_tone,Wood
US-54000145-NG4001,"Dawson Queen Size Bed, Beach Linen",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,beige_tone,Fabric|Wood
US-54000137-NG4001,"Dawson King Size Storage Bed, Beach Linen",US-T54000135,Dawson Storage Bed,Bedframes,Beds,Dawson,beige_tone,Metal|Fabric|Plastic
US-52460074,Brighton Oval Dining Table,US-T52460074,Brighton Oval Dining Table,Round Dining Tables,Tables,Brighton,brown_tone,Wood
US-50440799-IN4002,"Rochelle Performance Bouclé King Size Bed, White Quartz Bouclé",US-T50440797,Rochelle Performance Bouclé Bed,Bedframes,Beds,Rochelle,white_tone,Fabric|Wood|Bouclé|Performance Fabric
US-AS-000243-IN4002,"Marlow Boucle Curve Sofa, White Quartz Bouclé",US-TAS-000243,Marlow Performance Bouclé Curve Sofa,3 Seater Sofas,Sofa & Armchairs,Marlow,white_tone,Fabric|Bouclé|Performance Fabric
AU-50440836-NG4001,"Dalton Storage King Size Bed, Beach Linen",AU-T50440835,Dalton Storage Bed,Bedframes,Beds,Dalton,beige_tone,Fabric|Wood
US-AS-000308-CB4001,"Auburn Performance Bouclé Sectional Sofa, Chalk",US-TAS-000308,Auburn Performance Fabric Sectional Sofa,L-Shape Sectional Sofas,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-41960026,"Vincent Dining Table 71"", Walnut",US-T41960001,"Vincent Dining Table, Walnut",Rectangular Dining Tables,Tables,Vincent,brown_tone,Wood
US-50520001,Sloane TV Stand,US-T50520001,Sloane TV Stand,TV Stands,Storage,Sloane,grey_tone,Wood
US-50440761-PM4002,"Hamilton Chaise Sectional Sofa Left Facing, Performance Brilliant White",US-T50440761,Hamilton Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Hamilton,white_tone,Fabric|Metal|Performance Fabric
US-50520016,Sloane Sideboard,US-T50520002,Sloane Sideboard,Sideboards,Storage,Sloane,grey_tone,Wood
US-50440791-NG4001,"Dalton Queen Size Bed, Beach Linen",US-T50440791,Dalton Bed,Bedframes,Beds,Dalton,beige_tone,Wood|Fabric
US-50440797-IN4002,"Rochelle Performance Bouclé Queen Size Bed, White Quartz Bouclé",US-T50440797,Rochelle Performance Bouclé Bed,Bedframes,Beds,Rochelle,white_tone,Fabric|Wood|Bouclé|Performance Fabric
US-41960001,"Vincent Dining Table, 59""",US-T41960001,"Vincent Dining Table, Walnut",Rectangular Dining Tables,Tables,Vincent,brown_tone,Wood
AU-52460052,Mika Side Table,AU-T52460052,Mika Side Table,Side Tables,Tables,Mika,brown_tone,Wood
US-40550092,"Seb Bench, 51.2""",US-T40550092,Seb Bench,Dining Benches,Chairs & Benches,Seb,brown_tone,Wood
US-40550225,"Casa Rectangular Dining Table, 220cm",US-T40550224,Casa Dining Table,Rectangular Dining Tables,Tables,Casa,white_tone,Wood
US-40550224,"Casa Rectangular Dining Table, 180cm",US-T40550224,Casa Dining Table,Rectangular Dining Tables,Tables,Casa,white_tone,Wood
US-AS-000196-LE4016,"Jonathan Sofa Leather, Caramel",US-T54000027,Jonathan Leather Sofa,3 Seater Sofas,Sofa & Armchairs,Jonathan,brown_tone,Leather
